Year,DMA,GT MVT
2018,Raleigh-Durham (Fayetteville) NC,39.15
2018,Rapid City SD,43.0
2018,Reno NV,48.03
2018,Richmond-Petersburg VA,57.12
2018,Roanoke-Lynchburg VA,37.27
2018,Rochester MN-Mason City IA-Austin MN,32.5
2018,Rochester NY,46.58
2018,Rockford IL,31.0
2018,Sacramento-Stockton-Modesto CA,94.24
2018,Salt Lake City UT,49.15
2018,San Antonio TX,63.52
2018,San Diego CA,71.79
2018,San Francisco-Oakland-San Jose CA,67.7
2018,Santa Barbara-Santa Maria-San Luis Obispo CA,50.76
2018,Savannah GA,52.3
2018,Seattle-Tacoma WA,68.33
2018,Sherman TX-Ada OK,51.5
2018,Shreveport LA,53.42
2018,Sioux City IA,40.0
2018,Sioux Falls(Mitchell) SD,39.09
2018,South Bend-Elkhart IN,30.0
2018,Spokane WA,61.52
2018,Springfield MO,61.67
2018,Springfield-Holyoke MA,46.21
2018,St. Louis MO,54.67
2018,Syracuse NY,40.39
2018,Tallahassee FL-Thomasville GA,37.0
2018,Tampa-St. Petersburg (Sarasota) FL,58.15
2018,Terre Haute IN,50.5
2018,Toledo OH,48.24
2018,Topeka KS,26.5
2018,Tri-Cities TN-VA,37.5
2018,Tucson (Sierra Vista) AZ,50.91
2018,Tulsa OK,95.21
2018,Tyler-Longview(Lufkin & Nacogdoches) TX,45.5
2018,Waco-Temple-Bryan TX,39.82
2018,Washington DC (Hagerstown MD),37.42
2018,Watertown NY,41.0
2018,Wausau-Rhinelander WI,32.5
2018,West Palm Beach-Ft. Pierce FL,58.42
2018,Wichita Falls TX & Lawton OK,54.0
2018,Wichita-Hutchinson KS,68.91
2018,Wilkes Barre-Scranton PA,39.39
2018,Wilmington NC,32.0
2018,Yakima-Pasco-Richland-Kennewick WA,43.21
2018,Youngstown OH,43.5
2018,Yuma AZ-El Centro CA,46.5
2019,Abilene-Sweetwater TX,61.22
2019,Albany GA,51.0
2019,Albany-Schenectady-Troy NY,43.0
2019,Albuquerque-Santa Fe NM,77.62
2019,Amarillo TX,65.06
2019,Anchorage AK,83.5
2019,Atlanta GA,66.81
2019,Augusta GA,54.88
2019,Austin TX,48.34
2019,Bakersfield CA,95.03
2019,Baltimore MD,52.12
2019,Baton Rouge LA,46.31
2019,Beaumont-Port Arthur TX,81.0
2019,"Billings, MT",59.0
2019,Biloxi-Gulfport MS,46.0
2019,Binghamton NY,51.0
2019,Birmingham AL,57.88
2019,Boise ID,44.33
2019,Boston MA-Manchester NH,33.97
2019,Buffalo NY,46.09
2019,Burlington VT-Plattsburgh NY,31.59
2019,Butte-Bozeman MT,90.0
2019,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,37.0
2019,Champaign & Springfield-Decatur IL,37.16
2019,Charleston SC,59.22
2019,Charleston-Huntington WV,53.41
2019,Charlotte NC,60.94
2019,Chattanooga TN,48.88
2019,Chicago IL,59.25
2019,Chico-Redding CA,99.5
2019,Cincinnati OH,51.53
2019,Cleveland-Akron (Canton) OH,48.91
2019,Colorado Springs-Pueblo CO,90.47
2019,Columbia SC,51.31
2019,Columbia-Jefferson City MO,55.0
2019,Columbus GA,55.0
2019,Columbus OH,60.19
2019,Columbus-Tupelo-West Point MS,41.0
2019,Corpus Christi TX,50.5
2019,Dallas-Ft. Worth TX,61.06
2019,Davenport IA-Rock Island-Moline IL,57.62
2019,Dayton OH,69.44
2019,Denver CO,72.69
2019,Des Moines-Ames IA,39.28
2019,Detroit MI,57.62
2019,Duluth MN-Superior WI,35.0
2019,El Paso TX,48.25
2019,Eugene OR,66.5
2019,Evansville IN,40.0
2019,Fargo-Valley City ND,68.0
2019,Flint-Saginaw-Bay City MI,32.66
2019,Florence-Myrtle Beach SC,47.19
2019,Fresno-Visalia CA,74.66
2019,Ft. Myers-Naples FL,50.03
2019,Ft. Smith-Fayetteville-Springdale-Rogers AR,61.72
2019,Ft. Wayne IN,42.0
2019,Gainesville FL,56.0
2019,Grand Rapids-Kalamazoo-Battle Creek MI,45.44
2019,Green Bay-Appleton WI,30.34
